PARID,Address
0001G00106000000,No primary address specified
0001G00107000000,"100 MARKET ST, PITTSBURGH, PA 15222"
0001G00109000000,"100 MARKET ST, PITTSBURGH, PA 15222"
0001H00046000000,No primary address specified
0002H00034000000,"1520 5TH AVE, PITTSBURGH, PA 15219"
0002F00330000000,"701 FORBES AVE, PITTSBURGH, PA 15282"
0002G00051000000,"1334 5TH AVE, PITTSBURGH, PA 15219"
0011E00001000000,"1636 5TH AVE, PITTSBURGH, PA 15219"
0011E00009000000,"1712 5TH AVE, PITTSBURGH, PA 15219"
0011J00022000000,"110 GIST ST, PITTSBURGH, PA 15219"
0011J00023000000,"108 GIST ST, PITTSBURGH, PA 15219"
0011J00024000000,"106 GIST ST, PITTSBURGH, PA 15219"
0011J00043000000,No primary address specified
0011J00145000000,"211 GIST ST, PITTSBURGH, PA 15219"
0011J00146000000,"207 GIST ST, PITTSBURGH, PA 15219"
0002P00120000000,"700 2ND AVE, PITTSBURGH, PA 15219"
0011K00006000000,"1928 5TH AVE, PITTSBURGH, PA 15219"
0011J00164000B00,"55 VAN BRAAM ST, PITTSBURGH, PA 15219"
0011J00165000000,"53 VAN BRAAM ST, PITTSBURGH, PA 15219"
0011J00165000A00,"51 VAN BRAAM ST, PITTSBURGH, PA 15219"
0011J00300000000,"57 MILTENBERGER ST, PITTSBURGH, PA 15219"
0011K00147000000,"2017 TUSTIN ST, PITTSBURGH, PA 15219"
0011K00148000000,"2019 TUSTIN ST, PITTSBURGH, PA 15219"
0011K00030000000,"2026 5TH AVE, PITTSBURGH, PA 15219"
0011K00031000000,"2028 5TH AVE, PITTSBURGH, PA 15219"
0011K00088000001,"2035 FORBES AVE, PITTSBURGH, PA 15219"
0011K00095000100,"2027 FORBES AVE, PITTSBURGH, PA 15219"
0011K00159000000,"2030 FORBES AVE, PITTSBURGH, PA 15219"
0011K00161000000,"2033 TUSTIN ST, PITTSBURGH, PA 15219"
0011K00170000000,"210 SENECA ST, PITTSBURGH, PA 15219"
0009M00073000B00,No primary address specified
0009N00031000000,"965 LIBERTY AVE, PITTSBURGH, PA 15222"
0009S00032000000,"1715 BEDFORD AVE, PITTSBURGH, PA 15219"
0011A00171000000,"327 DINWIDDIE ST, PITTSBURGH, PA 15219"
0011A00172000000,"325 DINWIDDIE ST, PITTSBURGH, PA 15219"
0009M00243000000,"713 CASSATT ST, PITTSBURGH, PA 15219"
0002H00074000000,"1501 5TH AVE, PITTSBURGH, PA 15219"
0009M00258000A00,"8 MONACA PL, PITTSBURGH, PA 15219"
0002H00123000D00,"1506 COLWELL ST, PITTSBURGH, PA 15219"
0002H00262000000,"23 VINE ST, PITTSBURGH, PA 15219"
0009S00108000000,No primary address specified
0011A00234000000,No primary address specified
0011A00235000000,No primary address specified
0011E00173000000,"223 LOMBARD ST, PITTSBURGH, PA 15219"
0002G00056000000,"1325 5TH AVE, PITTSBURGH, PA 15219"
0002G00057000000,"1319 5TH AVE, PITTSBURGH, PA 15219"
0002G00058000000,"1315 5TH AVE, PITTSBURGH, PA 15219"
0011A00058000000,"20 HELDMAN ST, PITTSBURGH, PA 15219"
0009S00030000000,"1711 BEDFORD AVE, PITTSBURGH, PA 15219"
0011E00175000000,"219 LOMBARD ST, PITTSBURGH, PA 15219"
0011E00185000000,"212 WICK ST, PITTSBURGH, PA 15219"
0011E00187000000,"216 WICK ST, PITTSBURGH, PA 15219"
0009S00214000000,No primary address specified
0009S00215000000,"1844 WEBSTER AVE, PITTSBURGH, PA 15219"
0011A00018000000,No primary address specified
0009S00200000000,No primary address specified
0009R00138000000,"1613 BEDFORD AVE, PITTSBURGH, PA 15219"
0009S00212000000,No primary address specified
0011E00093000000,"1817 5TH AVE, PITTSBURGH, PA 15219"
0009D00167000000,"1908 PENN AVE, PITTSBURGH, PA 15222"
0010J00172000000,No primary address specified
0011L00059000000,"2312 BEELEN ST, PITTSBURGH, PA 15213"
0011H00009000000,"3105 TERRACE ST, PITTSBURGH, PA 15213"
0011K00056000A00,"2134 5TH AVE, PITTSBURGH, PA 15219"
0011K00060000000,"2133 FORBES AVE, PITTSBURGH, PA 15219"
0011K00075000000,"4 SENECA ST, PITTSBURGH, PA 15219"
0011K00078000000,"2 SENECA ST, PITTSBURGH, PA 15219"
0011K00078000200,"3 SENECA ST, PITTSBURGH, PA 15219"
0011F00134000000,"2035 5TH AVE, PITTSBURGH, PA 15219"
0011F00138000000,"2041 5TH AVE, PITTSBURGH, PA 15219"
0011S00018000000,"2610 FORBES AVE, PITTSBURGH, PA 15213"
0011G00142000000,No primary address specified
0011G00143000000,"12 ALLEQUIPPA ST, PITTSBURGH, PA 15213"
0011G00146000000,"18 ALLEQUIPPA ST, PITTSBURGH, PA 15213"
0011E00297000000,"1721 COLWELL ST, PITTSBURGH, PA 15219"
0011D00072000000,"2534 ALLEQUIPPA ST, PITTSBURGH, PA 15213"
0028S00072000000,"3361 PARKVIEW AVE, PITTSBURGH, PA 15213"
0028P00165044100,"3234 NIAGARA SQ, PITTSBURGH, PA 15213"
0028P00306000000,"3300 NIAGARA ST, PITTSBURGH, PA 15213"
0029C00065000000,"3436 FRAZIER ST, PITTSBURGH, PA 15213"
0029C00251000A00,"111 OAKLAND CT, PITTSBURGH, PA 15213"
0028P00333000000,"3319 NIAGARA ST, PITTSBURGH, PA 15213"
0028E00163000000,No primary address specified
0028H00041000000,"353 OAKLAND AVE, PITTSBURGH, PA 15213"
0028G00095000000,"226 MEYRAN AVE, PITTSBURGH, PA 15213"
0028M00117000000,"3600 DAWSON ST, PITTSBURGH, PA 15213"
0029M00271000000,"3778 ORPWOOD ST, PITTSBURGH, PA 15213"
0010C00003000000,No primary address specified
0010F00068000000,"2315 WEBSTER AVE, PITTSBURGH, PA 15219"
0010P00184000000,"2113 ROSE ST, PITTSBURGH, PA 15219"
0010M00030000000,"2537 ELBA ST, PITTSBURGH, PA 15219"
0010M00031000000,"2539 ELBA ST, PITTSBURGH, PA 15219"
0010M00035000000,No primary address specified
0010M00082000000,No primary address specified
0010M00083000000,"519 FRANCIS ST, PITTSBURGH, PA 15219"
0010P00192000E00,No primary address specified
0029H00089000000,"3219 PARKVIEW AVE, PITTSBURGH, PA 15213"
0029H00014000000,No primary address specified
0029G00017000000,"3133 BOHEM ST, PITTSBURGH, PA 15213"
0010F00025000000,No primary address specified
0010F00026000000,No primary address specified
0029G00237000000,"3611 FRAZIER ST, PITTSBURGH, PA 15213"
0029G00026000000,"3726 FRAZIER ST, PITTSBURGH, PA 15213"
0010F00121000000,"2294 BEDFORD AVE, PITTSBURGH, PA 15219"
0010C00085000000,No primary address specified
0010D00257000000,No primary address specified
0010G00328000000,No primary address specified
0010G00329000000,No primary address specified
0010G00341000A00,"713 DUFF ST, PITTSBURGH, PA 15219"
0010G00341000C00,No primary address specified
0010D00173000000,"705 FRANCIS ST, PITTSBURGH, PA 15219"
0010D00175000000,"703 FRANCIS ST, PITTSBURGH, PA 15219"
0010D00058000A00,"2724 BEDFORD AVE, PITTSBURGH, PA 15219"
0010D00059000000,"2726 BEDFORD AVE, PITTSBURGH, PA 15219"
0028P00177000000,"3204 NIAGARA ST, PITTSBURGH, PA 15213"
0010D00059000A00,"2728 BEDFORD AVE, PITTSBURGH, PA 15219"
0010D00258000000,No primary address specified
0010D00261000000,"625 HOLLACE ST, PITTSBURGH, PA 15219"
0010D00265000000,No primary address specified
0010D00118000000,No primary address specified
0010D00121000000,No primary address specified
0010D00291000000,"630 HOLLACE ST, PITTSBURGH, PA 15219"
0010G00081000000,"634 WATT ST, PITTSBURGH, PA 15219"
0010G00122000000,No primary address specified
0010G00226000000,"2402 WEBSTER AVE, PITTSBURGH, PA 15219"
0010G00233000000,"634 CHAUNCEY ST, PITTSBURGH, PA 15219"
0010D00234000000,No primary address specified
0010D00236000000,No primary address specified
0010D00238000000,No primary address specified
0010G00181000000,No primary address specified
0010D00063000000,"716 MORGAN ST, PITTSBURGH, PA 15219"
0010G00275000000,"705 WATT LN, PITTSBURGH, PA 15219"
0010D00272000000,No primary address specified
0010D00280000000,No primary address specified
0010D00128000000,"713 WEBSTER TER, PITTSBURGH, PA 15219"
0010D00137000000,"701 WEBSTER TER, PITTSBURGH, PA 15219"
0010G00145000000,No primary address specified
0010D00244000000,No primary address specified
0010G00125000000,"2510 WEBSTER AVE, PITTSBURGH, PA 15219"
0010G00298000000,No primary address specified
0010D00290000000,"628 HOLLACE ST, PITTSBURGH, PA 15219"
0010D00139000000,No primary address specified
0010G00033000000,"2431 WYLIE AVE, PITTSBURGH, PA 15219"
0010G00213000000,"637 DUFF ST, PITTSBURGH, PA 15219"
0010F00071000000,"707 SOMERS ST, PITTSBURGH, PA 15219"
0010F00086000000,No primary address specified
0010G00251000000,No primary address specified
0010F00143000A00,"2242 BEDFORD AVE, PITTSBURGH, PA 15219"
0010D00051000000,"2702 BEDFORD AVE, PITTSBURGH, PA 15219"
0010D00052000A00,"2708 BEDFORD AVE, PITTSBURGH, PA 15219"
0010D00053000000,"2710 BEDFORD AVE, PITTSBURGH, PA 15219"
0010D00053000A00,"2712 BEDFORD AVE, PITTSBURGH, PA 15219"
0010D00250000000,"647 HOLLACE ST, PITTSBURGH, PA 15219"
0010D00252000000,"643 HOLLACE ST, PITTSBURGH, PA 15219"
0010D00253000000,"641 HOLLACE ST, PITTSBURGH, PA 15219"
0010D00255000000,No primary address specified
0028R00098000000,"3315 WARD ST, PITTSBURGH, PA 15213"
0027B00175000000,"774 ANAHEIM ST, PITTSBURGH, PA 15219"
0010L00036000000,"2349 CENTRE AVE, PITTSBURGH, PA 15219"
0010L00037000000,"2351 CENTRE AVE, PITTSBURGH, PA 15219"
0027B00038000000,"903 BRYN MAWR RD, PITTSBURGH, PA 15219"
0027A00096000000,"2950 ORBIN ST, PITTSBURGH, PA 15219"
0027B00299000000,"822 CHEROKEE ST, PITTSBURGH, PA 15219"
0027B00122000000,"3208 CAMP ST, PITTSBURGH, PA 15219"
0027B00318000000,"912 CHEROKEE ST, PITTSBURGH, PA 15219"
0027B00319000000,"914 CHEROKEE ST, PITTSBURGH, PA 15219"
0010K00149000000,No primary address specified
0010K00149000C00,"19 PERRY ST, PITTSBURGH, PA 15219"
0010K00152000000,"635 KIRKPATRICK ST, PITTSBURGH, PA 15219"
