_id,PARID,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESS,PROPERTYCITY,PROPERTYSTATE,PROPERTYUNIT,PROPERTYZIP,MUNICODE,MUNIDESC,SCHOOLCODE,SCHOOLDESC,LEGAL1,LEGAL2,LEGAL3,NEIGHCODE,NEIGHDESC,TAXCODE,TAXDESC,TAXSUBCODE,TAXSUBCODE_DESC,OWNERCODE,OWNERDESC,CLASS,CLASSDESC,USECODE,USEDESC,LOTAREA,HOMESTEADFLAG,FARMSTEADFLAG,CLEANGREEN,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALECODE,SALEDESC,DEEDBOOK,DEEDPAGE,PREVSALEDATE,PREVSALEPRICE,PREVSALEDATE2,PREVSALEPRICE2,CHANGENOTICEADDRESS1,CHANGENOTICEADDRESS2,CHANGENOTICEADDRESS3,CHANGENOTICEADDRESS4,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLE,STYLEDESC,STORIES,YEARBLT,EXTERIORFINISH,EXTFINISH_DESC,ROOF,ROOFDESC,BASEMENT,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDU,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLING,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE,FINISHEDLIVINGAREA,CARDNUMBER,ALT_ID,TAXYEAR,ASOFDATE
15,0001G00106000000,0.0, ,MARKET ST,PITTSBURGH,PA, ,15222.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,LOT 38.67X60.19,PT EXTINGUISHED ALLEY = 21.75X4X21.75X4,,51C02,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,400,VACANT COMMERCIAL LAND,2415,,,,,12-30-2016,11-11-2016,10.0,H,MULTI-PARCEL SA,16656,25.0,12-18-1991,210000.0,,,2020   SMALLMAN ST  STE 301,  ,PITTSBURGH PA  ,15222.0,0,61400,61400,0,0,61400,61400,0,61400,61400,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
16,0001G00107000000,100.0, ,MARKET ST,PITTSBURGH,PA, ,15222.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,WOODS PLAN PT 226 LOT 20X60.19,PT EXTINGUISHED ALLEY = 20X4X20X4,,51C02,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,400,VACANT COMMERCIAL LAND,1284,,,,,09-03-2004,09-03-2004,344250.0,H,MULTI-PARCEL SA,12182,537.0,04-21-2004,67987.0,04-14-1997,1.0,104   MARKET ST   ,  ,PITTSBURGH PA  ,15222.0,0,51400,51400,0,0,51400,51400,0,51400,51400,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
17,0001G00109000000,100.0, ,MARKET ST,PITTSBURGH,PA, ,15222.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,LOT 39.99X60.19,PT EXTINGUISHED ALLEY = 4X40X4X40,,51C02,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,400,VACANT COMMERCIAL LAND,2568,,,,,09-03-2004,09-03-2004,344250.0,H,MULTI-PARCEL SA,12182,537.0,04-21-2004,67987.0,04-14-1997,1.0,   PO BOX 669    ,  ,CARNEGIE PA  ,15106.0,0,65300,65300,0,0,65300,65300,0,65300,65300,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
132,0001H00046000000,0.0, ,1ST AVE,PITTSBURGH,PA, ,15222.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,LOT 22.09X79.83,PT EXTINGUISHED ALLEY = 4X79.83X4X79.83,,51C02,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,400,VACANT COMMERCIAL LAND,2083,,,,,07-21-2015,07-20-2015,550000.0,14,TIME ON MARKET,16055,534.0,02-25-1980,0.0,,,2020   SMALLMAN ST   , JACQUELINE TROIANI ,PITTSBURGH PA  ,15222.0,0,53000,53000,0,0,53000,53000,0,53000,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
294,0002H00034000000,1520.0, ,5TH AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,MARION PRIDE PLAN 11 LOT 25X115 FIFTH AVE BET P,RIDE & MARION STS                              ,3 STY BRK STO 1520                             ,51C04,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,400,VACANT COMMERCIAL LAND,2875,,,,,,12-19-2000,23000.0,6,CHANGED AFTER,10940,241.0,04-21-1999,0.0,10-21-1996,25000.0,101   TIMBERWOOD DR   ,  ,GLENSHAW        PA  ,15116.0,0,85000,85000,0,0,85000,85000,0,85000,85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
319,0002F00330000000,701.0, -709,FORBES AVE,PITTSBURGH,PA, ,15282.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,PT 10 LOT 30XAVG52.39,,,51C02,PITTSBURGH URBAN,E,10 - Exempt,,,20,CORPORATION,G,GOVERNMENT,670,OWNED BY COLLEGE/UNIV/ACADEMY,3080,,,,,,12-06-1996,4800000.0,8,OTHER,9842,1.0,,,,,600   FORBES AVE  STE 505,  ,PITTSBURGH PA  ,15282.0,478600,124800,603400,0,478600,124800,603400,478600,124800,603400,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
454,0002G00051000000,1334.0, ,5TH AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,ASSOC CONG OF PGH PLAN PT 6 LOT 21.50X69 5TH AV,E BET MAGEE & STEVENSON                        ,3 STY BRK BLDG #1334                           ,51C02,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,1449,,,,,12-30-2022,12-29-2022,500000.0,14,TIME ON MARKET,19167,486.0,04-27-2016,220000.0,12-16-1988,100000.0,1344   5TH AVE   ,  ,PITTSBURGH PA  ,15219.0,156600,115900,272500,0,156600,115900,272500,156600,115900,272500,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
509,0011E00001000000,1636.0, ,5TH AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,ARTHUR & NICHOLSON PLAN PT 6 LOT 30X65 - 5TH AV, COR VAN BRAAM ST                              ,2 STY BRK HSE 1636                             ,51C04B,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,1950,,,,,02-08-2021,02-03-2021,388000.0,H,MULTI-PARCEL SA,18327,232.0,08-09-1976,6000.0,,,1128   MAIN ST  STE 200,  ,CINCINNATI OH  ,45202.0,48500,39000,87500,0,48500,39000,87500,48500,39000,87500,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
514,0011E00009000000,1712.0, ,5TH AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,GEO MILTENBERGER PLAN 5 LOT 24X120 5TH AVE     ,2 STY BRK DWG 3 STO & 1 STY C B ADDN 1712 5TH A,VE                                             ,51C04B,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,2880,,,,,11-24-2021,11-19-2021,1.0,3,LOVE&AFFECTION,18698,570.0,05-29-2019,200000.0,11-28-1989,13000.0,7101   PINEHURST CIR   ,  ,PRESTO PA  ,15142.0,30400,57600,88000,0,30400,57600,88000,30400,57600,88000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
523,0011J00022000000,110.0, ,GIST ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,LOT 18.37X46.47 GIST ST,2 STY BRK HSE 110,,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,70,ROWHOUSE,854,,,,,07-01-2005,07-01-2005,11000.0,H,MULTI-PARCEL SA,12502,125.0,09-19-2002,0.0,05-14-2002,0.0,   PO BOX 13444    ,  ,PITTSBURGH PA  ,15243.0,6000,4700,10700,0,6000,4700,10700,6000,4700,10700,11.0,ROW END,3.0,1920.0,2.0,Brick,1.0,SHINGLE,5.0,Full,C-,AVERAGE -,8.0,VERY POOR,VP,VERY POOR,5.0,3.0,1.0,0.0,2,Central Heat,0.0,0.0,1764.0,1.0,,2025,01-JUN-25
